row_id,result
1,Galassia di Sapori: Il Viaggio Senza Tempo
2,
3,
4,Sinfonia Cosmica di Sapore
5,
6,Rinascita Cosmica
7,Rivisitazione del Kraken sotto Molecole
8,
9,Galassia di Celestial Delight,Cosmo Sferico di Sogni Rigenerativi,Portale Cosmico: Sinfonia di Gnocchi del Crepuscolo con Essenza di Tachioni e Sfumature di Fenice
10,Sinfonia del Cosmo e della Leggenda,Sinfonia Astrale,Sinfonia Cosmica,Sinfonia del Multiverso di Gusto,Galassie Riflesse: Sinfonia del Multiverso
11,
12,Sinfonia Quantistica delle Stelle,Galassia Suprema
13,Sinfonia Astrale - Risotto Multiversale con Risacca Celeste
14,Sinfonia Galattica alla Griglia Cangiante,Sinfonia del Multiverso Nascente,Galassia di Sapori: Sinfonia Transdimensionale,Galassia di Sapori di Aurora,Sinfonia Cosmica: il Ritorno dell'Imperatore,Pioggia di Dimensioni Galattiche,Ethereal Temporal Elixir,Sinfonia Cosmica di Sapori,Il Viaggio dell'Etereo Risveglio,Sinfonia Celestiale di Gnocchi del Crepuscolo,Risveglio Cosmico: Una Sinfonia di Sapori Universali
15,Sinfonia Cosmica di Terracotta
16,Sinfonia Cosmica di Terracotta
17,Sinfonia Cosmica di Sapore,Sinfonia Cosmica in Otto Movimenti,Cosmo Sferico di Sogni Rigenerativi,Portale Cosmico: Sinfonia di Gnocchi del Crepuscolo con Essenza di Tachioni e Sfumature di Fenice,Pizza Cri
18,Nebulosa di Confini Sfondati,Portale Interdimensionale di Sapori,Pizza Baby Daniele,Pizza Raul
19,Nebulosa Celestiale alla Stellaris,Nebulosa Galattica,Nebulose della Fenice su Vento Lunare,Portale Cosmico: Sinfonia di Gnocchi del Crepuscolo con Essenza di Tachioni e Sfumature di Fenice,Nebulosa di Fenice con Sinfonia Eterea
20,Galassia Commovente di Stellari,Luce e Ombra di Nomea Spaziale,Sinfonia Cosmica di Proteine Interstellari,Entropia Eterna,Cosmic Serenade,Una Mucca e una Balena nella Singolarità,Portale di Sapori Arcani,Il Risveglio delle Stelle,Sinfonia Celestiale di Echi Galattici,Risveglio Cosmico: Una Sinfonia di Sapori Universali,Nebulosa dell'Infinito: Un Viaggio attraverso il Cosmo del Gusto
21,Galassia di Sapore Interdimensionale,Sinfonia Galattica di Sapori con Sorpresa di Drago Fiammante,Galassia di Sapore Interstellare
