row_id,result
1,Galassia di Sapori: Il Viaggio Senza Tempo
2,Sinfonia Cosmica: Versione Pizza
3,
4,Sinfonia Cosmica di Sapore
5,
6,Rinascita Cosmica
7,Rivisitazione del Kraken sotto Molecole
8,Nebulosa Galattica,Cosmo Sferico di Sogni Rigenerativi,Sinfonia Cosmica di Sapore,Portale Cosmico: Sinfonia di Gnocchi del Crepuscolo con Essenza di Tachioni e Sfumature di Fenice,Aurora del Cosmo
9,Galassia di Celestial Delight,Cosmo Sferico di Sogni Rigenerativi
10,Galassie Riflesse: Sinfonia del Multiverso,Sinfonia Astrale - Risotto Multiversale con Risacca Celeste,Sinfonia del Cosmo e della Leggenda,Portale delle Meraviglie,Sinfonia Cosmica,Danza Cosmica al Crepuscolo,Sinfonia del Multiverso di Gusto,Sinfonia Temporale Galattica,Universo in Fluttuazione,La Mucca Che Stordisce l'Universo,Risotto dei Multiversi,Eclissi Armonica di Sapori,Il Crepuscolo dell’Unicorno
11,
12,
13,Sinfonia Astrale - Risotto Multiversale con Risacca Celeste
14,Sinfonia Galattica alla Griglia Cangiante,Sinfonia Cosmica di Sapori,Il Viaggio dell'Etereo Risveglio,Sinfonia Celestiale di Gnocchi del Crepuscolo,Risveglio Cosmico: Una Sinfonia di Sapori Universali
15,Sinfonia Cosmica di Terracotta
16,Sinfonia Cosmica di Terracotta
17,Sinfonia Cosmica di Terracotta,Cosmo Sferico di Sogni Rigenerativi,Sinfonia Cosmica di Sapore,Pizza Cri
18,Nebulosa di Confini Sfondati,Pizza Baby Daniele,Pizza Raul
19,Nebulosa Celestiale alla Stellaris,Nebulosa Galattica,Nebulosa Celeste di Terrafirma,Nebulose della Fenice su Vento Lunare,Portale Cosmico: Sinfonia di Gnocchi del Crepuscolo con Essenza di Tachioni e Sfumature di Fenice,Galassia Suprema,Nebulosa di Fenice con Sinfonia Eterea
20,Galassia Commovente di Stellari,Sinfonia Cosmica: il Ritorno dell'Imperatore,Antipasto Celestiale,Sinfonia Galattica Agentica,Luce e Ombra di Nomea Spaziale,Sinfonia Cosmica di Proteine Interstellari,Entropia Eterna,Cosmic Serenade,Portale di Sapori Arcani,Il Risveglio delle Stelle,Sinfonia Celestiale di Echi Galattici
21,Sinfonia Galattica di Sapori con Sorpresa di Drago Fiammante,Galassia di Sapore Interstellare
22,Nebulosa Celestiale alla Stellaris,Galassia di Sapori Eterei,Sinfonia dell'Universo Morente,Piastrella Celestiale di Gnocchi del Crepuscolo,Sinfonia Celeste di Granuli Arcobaleno e Riso di Cassandra,Nebulosa Galattica,Galassie Riflesse: Sinfonia del Multiverso,Nebulosa Eterna
23,
24,
25,
26,
27,La Mucca Che Stordisce l'Universo,Tris di Carne con Pane,Luce e Ombra di Nomea Spaziale,Verso l'Inedito Oltre
28,Portale Cosmico: Sinfonia di Gnocchi del Crepuscolo con Essenza di Tachioni e Sfumature di Fenice,Sinfonia dell'Infinito: Un Viaggio Gnodale tra Terra e Universi,Galassia Suprema,Sinfonia Celeste dell'Equilibrio Temporale,Risveglio Cosmico: Una Sinfonia di Sapori Universali
29,Sinfonia Galattica di Sapori con Sorpresa di Drago Fiammante,Antipasto Celestiale,Sinfonia Cosmica di Proteine Interstellari,Nebulosa Galattica,Sinfonia dell'Infinito: Un Viaggio Gnodale tra Terra e Universi,Pizza Cosmica all'Essenza di Drago con Nebbia Arcobaleno e Funghi Orbitali
30,Sinfonia di Galassie Riflesse,Rintocchi del Cosmo,Nebulosa di Fenice con Sinfonia Eterea,Cosmic Rhapsody
31,
32,Sinfonia Cosmica alla Szechuan,Nebulosa Celestiale di Sogni Quantici,Il Ricordo del Fuoco Celeste,Sinfonia di Crepuscolo Celestiale
33,Portale delle Stelle
34,
35,
36,Galassia di Sapore Quantum
37,Pizza Baby Daniele
38,Portale delle Stelle,Rivelazione del Multiverso,Galassia di Sapori Interstellari
39,L'Eternità al Crepuscolo,Nebulosa di Confini Sfondati
40,Pizza Cri,Pizza Baby Daniele
41,Serenata del Multiverso
42,Rinascita Cosmica
43,Sinfonia Cosmica del Multiverso,Evanescenza Quantica,Mycoflora con Polvere di Stelle Sbagliato,Il Rapsodo Celestiale,Galassia a Tavola,Portale Cosmico: Sinfonia di Gnocchi del Crepuscolo con Essenza di Tachioni e Sfumature di Fenice,Sinfonia Cosmica di Sapore,Galassia Suprema,Sinfonia Celestiale di Echi Galattici
44,Portale Cosmico: Sinfonia di Gnocchi del Crepuscolo con Essenza di Tachioni e Sfumature di Fenice,Pizza Fra
45,
46,Pioggia di Andromeda,Echi del Cosmo,Rivelazione del Multiverso,Sinfonia Cosmica di Armonie Terrestri e Celesti,Viaggio dei Sensi: Bolla Temporale di Aromi Ancestrali
47,
48,
49,Una Mucca e una Balena nella Singolarità,Fenice sull'Orizzonte degli Eventi,L'Ascensione Siderale,Quadrifonia Cosmica: Sinfonia di Sapori e Dimensioni,Portale di Sapori Arcani,Fusione Celeste
50,Sinfonia Cosmica di Terre e Stelle,Sinfonia del Cosmo e della Leggenda,Risotto Cosmico Multiversale,Pane e Carne Rivisitato,Fenice sull'Orizzonte degli Eventi,L'Ascensione Siderale,Quadrifonia Cosmica: Sinfonia di Sapori e Dimensioni,Risotto Cosmico alla Draconia,Portale di Sapori Arcani,Sinfonia Cosmica di Terre e Stelle,Sinfonia Cosmica: La Danza dell'Universo
51,Cosmos in Tavola,Il Viaggio Cosmico di Marinetti,Portale delle Meraviglie
52,Cosmos Culinary Symphony
53,Sinfonia dell'Universo Morente
54,Nebulosa di Confini Sfondati,Galassia Ardente,Falso Risotto dell'Infinito Multiverso,Nebulosa di Sapori dell'Infinito
55,Portale delle Stelle,Stellar Fusion,Galassia di Sapori,Sinfonia Cosmica della Rinascita,Rivelazione del Multiverso,Galassia Aurorale,Galassia di Sapori Interstellari
56,Universo in Un Boccone,Eterea Sinfonia di Gravità con Infusione Temporale,Galassia Speculare,Nebulosa Celestiale di Sogni Quantici,La Creazione di Nova
57,
58,Galassie Infiammate,Galassia di Sapore Quantico,Interstellare Risveglio di Kraken,Sinfonia Quantistica dell'Universo,Sinfonia Quantistica delle Stelle,Cosmos Quantum Fusion,Sinfonia Astrale,Ecosistema Celeste,Portale Astrale di Sapori,Nebulosa di Sapori dell'Infinito,Melodia del Multiverso Parallelo,Galassia di Sapore Quantum
59,
60,
61,Mycoflora con Polvere di Stelle Sbagliato,Galassia di Sapori: Il Viaggio Senza Tempo,Il Rapsodo Celestiale,Tris di Verdure con Xenodonte,Nebulosa di Sapori dell'Infinito,Bistecca Cacofonica dell'Infinito,Rinascita Cosmica,Falso Risotto dell'Infinito Multiverso,Sinfonia dell'Infinito: Un Viaggio Gnodale tra Terra e Universi,Evanescenza Cosmica,Entropia Eterna,Sinfonia Temporale Galattica,Sinfonia del Cosmo,Aurora del Cosmo
62,
63,Portale delle Stelle,Sinfonia Cosmica in Otto Movimenti
64,
65,Galassia Aurorale,Galassia di Sapori Interstellari,Galassia d'Aromi Perduti
