row_id,result
1,"78"
2,"69"
3,"75"
4,"215"
5,"6"
6,"138"
7,"170"
8,"10"
9,"118"
10,"28"
11,"115"
12,"57"
13,"197"
14,"233,221,125,40,255,80,77,226,152,44,216,103,203,180,6,123,7,185,105,187"
15,"217"
16,"217"
17,"215,219,16,169,157"
18,"132,153,162"
19,"127,130,126,140,169,62,135"
20,"54,226,1,231,118,214,39,13,175,99,202"
21,"234,70"
22,"127,74,258,144,199,130,86,129"
23,"154"
24,"48"
25,"113"
26,"5"
27,"115,269,118,279"
28,"169,257,62,187,51"
29,"234,1,214,130,257,156"
30,"262,180,135,12"
31,"81"
32,"206,128,95,259"
33,"174"
34,"131"
35,"58"
36,"72"
37,"153"
38,"174,188,75"
39,"110,132"
40,"157,153"
41,"191"
42,"179"
43,"207,47,123,94,38,169,215,202"
44,"169,159"
45,"124"
46,"151,32,188,210,286"
47,"37"
48,"25"
49,"271,51,50,108,176,175,218"
50,"218,252,146,176,182,223"
51,"24,102"
52,"21"
53,"258"
54,"132,52,48,137"
55,"174,268,73,208,188,53,75"
56,"276,41,61,128,114"
57,"72"
58,"135,71,106,239,240,22,196,37,167,137,121,72"
59,"80"
60,"141"
61,"123,78,94,270,137,7,179,48,257,46,39,235,35"
62,"125"
63,"174,219"
64,"30"
65,"53,75,12,112"
66,"50,181,270,218,182,165,168,175,186"
67,"169"
68,"141"
69,"114"
70,"128"
71,"80"
72,"107"
73,"6"
74,"19"
75,"71,106,128,215,37,198"
76,"60"
77,"160"
78,"171"
79,"271"
80,"146"
81,"1"
82,"40"
83,"112"
84,"40"
85,"87"
86,"133"
87,"112"
88,"199"
89,"53"
90,"147"
91,"156"
92,"188"
93,"56"
94,"106,76,22,266,174,268,188,247,20,12,156,7,135,286,243,193,265,259,59,241"
95,"191"
96,"176"
97,"136"
98,"142"
99,"189"
100,"54,1,282,88,166,216,16"
